initial_weight_kg,age_days,sex_male,bos_indicus_proportion_pct,supplement_amount_kg_day,supplement_crude_protein_pct,supplement_metabolizable_energy,supplementation_frequency_days_week,forage_crude_protein_pct,forage_digestibility_pct,days_on_pasture,paddock_rotation,transport_stress,mean_temperature_c,accumulated_rainfall_mm,days_since_health_event,health_event_duration_days,recent_vaccination,recent_deworming,adg_kg_day
209,530,0,50.0,1.104,35,2.2,7,5.62,51.5,532,1,0,23.0,15.2,0,0,0,0,0.298872180451128
260,530,0,50.0,0.78,35,2.2,7,5.62,51.5,473,1,0,23.0,15.2,0,0,0,0,0.0
143,530,0,0.0,1.530,35,2.2,7,5.62,51.5,465,1,0,23.0,15.2,0,0,0,0,0.447311827956989
195,530,0,50.0,1.740,35,2.2,7,5.62,51.5,465,1,0,23.0,15.2,0,0,0,0,0.350537634408602
173,530,0,50.0,1.650,35,2.2,7,10.42,61.2,719,1,0,31.0,15.2,0,0,0,0,0.253129346314325
194,530,0,50.0,0.966,35,2.2,7,5.62,51.5,540,1,0,23.0,15.2,0,0,0,0,0.237037037037037
204,530,0,50.0,1.104,35,2.2,7,5.62,51.5,465,1,0,23.0,15.2,0,0,0,0,0.352688172043011
217,530,0,50.0,1.158,35,2.2,7,5.62,51.5,465,1,0,23.0,15.2,0,0,0,0,0.363440860215054
137,530,0,0.0,1.920,35,2.2,7,5.62,51.5,540,1,0,23.0,15.2,0,0,0,0,0.42037037037037
208,530,0,50.0,1.830,35,2.2,7,5.62,51.5,540,1,0,23.0,15.2,0,0,0,0,0.283333333333333
196,530,0,50.0,1.197,35,2.2,7,5.62,51.5,465,1,0,23.0,15.2,0,0,0,0,0.436559139784946
236,530,0,0.0,1.080,35,2.2,7,5.62,51.5,465,1,0,23.0,15.2,0,0,0,0,0.21505376344086
181,530,0,0.0,0.924,35,2.2,7,5.62,51.5,465,1,0,23.0,15.2,0,0,0,0,0.273118279569893
197,530,0,0.0,1.140,35,2.2,7,5.62,51.5,465,1,0,23.0,15.2,0,0,0,0,0.303225806451613
154,530,0,50.0,1.146,35,2.2,7,5.62,51.5,540,1,0,23.0,15.2,0,0,0,0,0.422222222222222
176,530,0,50.0,0.963,35,2.2,7,5.62,51.5,540,1,0,23.0,15.2,0,0,0,0,0.268518518518519
196,530,0,50.0,0.816,35,2.2,7,5.62,51.5,465,1,0,23.0,15.2,0,0,0,0,0.163440860215054
153,530,0,0.0,1.140,35,2.2,7,5.62,51.5,465,1,0,23.0,15.2,0,0,0,0,0.397849462365591
92,530,0,50.0,1.980,35,2.2,7,10.42,61.2,782,1,0,30.0,15.2,0,0,0,0,0.350383631713555
145,530,0,50.0,1.740,35,2.2,7,10.42,61.2,782,1,0,30.0,3.0,0,0,0,0,0.272378516624041
90,530,0,50.0,1.104,35,2.2,7,5.62,51.5,933,1,0,23.0,3.0,0,0,0,0,0.297963558413719
107,530,0,50.0,1.185,35,2.2,7,10.42,61.2,782,1,0,30.0,3.0,0,0,0,0,0.368286445012788
177,530,0,50.0,0.957,35,2.2,7,5.62,51.5,576,1,0,23.0,3.0,0,0,0,0,0.246527777777778
80,530,0,50.0,0.885,35,2.2,7,10.42,61.2,782,1,0,30.0,3.0,0,0,0,0,0.274936061381074
102,530,0,50.0,0.867,35,2.2,7,5.62,51.5,576,1,0,21.0,3.0,0,0,0,0,0.324652777777778
130,530,0,50.0,1.470,35,2.2,7,5.62,51.5,576,1,0,21.0,3.0,0,0,0,0,0.380208333333333
105,530,0,50.0,0.864,35,2.2,7,5.62,51.5,576,1,0,23.0,3.0,0,0,0,0,0.317708333333333
91,530,0,50.0,0.969,35,2.2,7,10.42,61.2,782,1,0,30.0,3.0,0,0,0,0,0.296675191815857
102,530,0,50.0,1.140,35,2.2,7,10.42,61.2,782,1,0,30.0,3.0,0,0,0,0,0.301790281329923
83,530,0,50.0,1.740,35,2.2,7,10.42,61.2,782,1,0,30.0,3.0,0,0,0,0,0.351662404092072
205,530,0,50.0,1.623,35,2.2,7,5.62,51.5,576,1,0,23.0,3.0,0,0,0,0,0.583333333333333
228,530,0,50.0,1.149,35,2.2,7,5.62,51.5,501,1,0,23.0,3.0,0,0,0,0,0.30938123752495
201,530,0,50.0,0.987,35,2.2,7,5.62,51.5,576,1,0,23.0,3.0,0,0,0,0,0.222222222222222
213,530,0,50.0,1.179,35,2.2,7,5.62,51.5,501,1,0,23.0,3.0,0,0,0,0,0.359281437125749
231,530,0,50.0,1.107,35,2.2,7,5.62,51.5,311,1,0,23.0,3.0,0,0,0,0,0.443729903536978
220,530,0,50.0,1.560,35,2.2,7,5.62,51.5,386,1,0,21.0,3.0,0,0,0,0,0.341968911917098
209,530,0,50.0,1.560,35,2.2,7,5.62,51.5,386,1,0,21.0,3.0,0,0,0,0,0.370466321243523
192,530,0,50.0,1.470,35,2.2,7,5.62,51.5,386,1,0,21.0,3.0,0,0,0,0,0.406735751295337
204,530,0,50.0,1.50,35,2.2,7,5.62,51.5,356,1,0,23.0,3.0,0,0,0,0,0.410112359550562
161,530,0,50.0,0.945,35,2.2,7,5.62,51.5,386,1,0,21.0,3.0,0,0,0,0,0.398963730569948
228,530,0,50.0,1.128,35,2.2,7,5.62,51.5,386,1,0,23.0,3.0,0,0,0,0,0.383419689119171
215,530,0,50.0,1.530,35,2.2,7,5.62,51.5,356,1,0,21.0,3.0,0,0,0,0,0.382022471910112
200,530,0,50.0,1.104,35,2.2,7,5.62,51.5,356,1,0,21.0,3.0,0,0,0,0,0.471910112359551
223,530,0,50.0,1.230,35,2.2,7,5.62,51.5,337,1,0,21.0,3.0,0,0,0,0,0.350148367952522
245,530,0,50.0,0.942,35,2.2,7,10.42,61.2,188,1,0,30.0,3.0,0,0,0,0,0.367021276595745
226,530,0,50.0,0.87,35,2.2,7,10.42,61.2,188,1,0,30.0,3.0,0,0,0,0,0.340425531914894
188,530,0,50.0,0.975,35,2.2,7,5.62,51.5,337,1,0,21.0,3.0,0,0,0,0,0.406528189910979
240,530,0,50.0,0.918,35,2.2,7,10.42,61.2,188,1,0,30.0,3.0,0,0,0,0,0.351063829787234
222,530,0,50.0,1.320,35,2.2,7,5.62,51.5,337,1,0,21.0,3.0,0,0,0,0,0.362017804154303
183,530,0,50.0,0.996,35,2.2,7,5.62,51.5,337,1,0,21.0,3.0,0,0,0,0,0.442136498516321
228,530,0,50.0,1.590,35,2.2,7,5.62,51.5,337,1,0,23.0,3.0,0,0,0,0,0.370919881305638
252,530,0,50.0,1.104,35,2.2,7,5.62,51.5,337,1,0,23.0,4.8,0,0,0,0,0.344213649851632
163,530,0,50.0,0.954,35,2.2,7,10.42,61.2,485,1,0,30.0,4.8,0,0,0,0,0.319587628865979
116,530,0,50.0,0.852,35,2.2,7,10.42,61.2,485,1,0,30.0,4.8,0,0,0,0,0.34639175257732
150,530,0,50.0,0.924,35,2.2,7,10.42,61.2,512,1,0,30.0,4.8,0,0,0,0,0.30859375
148,530,0,50.0,0.789,35,2.2,7,10.42,61.2,485,1,0,30.0,4.8,0,0,0,0,0.237113402061856
247,530,0,50.0,0.879,35,2.2,7,10.42,61.2,188,1,0,30.0,4.8,0,0,0,0,0.24468085106383
251,530,0,50.0,0.903,35,2.2,7,10.42,61.2,188,1,0,30.0,4.8,0,0,0,0,0.265957446808511
239,530,0,50.0,0.93,35,2.2,7,5.62,51.5,117,1,0,23.0,4.8,0,0,0,0,0.606837606837607
188,530,0,50.0,1.50,35,2.2,7,5.62,51.5,495,1,0,23.0,4.8,0,0,0,0,0.327272727272727
160,530,0,50.0,0.948,35,2.2,7,10.42,61.2,495,1,0,30.0,4.8,0,0,0,0,0.315151515151515
158,530,0,50.0,0.885,35,2.2,7,10.42,61.2,441,1,0,30.0,4.8,0,0,0,0,0.310657596371882
208,530,0,50.0,1.620,35,2.2,7,5.62,51.5,266,1,0,30.0,4.8,0,0,0,0,0.548872180451128
128,530,0,50.0,0.894,35,2.2,7,10.42,61.2,376,1,0,30.0,4.8,0,0,0,0,0.452127659574468
218,530,0,50.0,1.14,35,2.2,7,10.42,61.2,376,1,0,30.0,4.8,0,0,0,0,0.430851063829787
162,530,0,50.0,0.792,35,2.2,7,10.42,61.2,376,1,0,30.0,4.8,0,0,0,0,0.271276595744681
135,530,0,50.0,0.951,35,2.2,7,10.42,61.2,376,1,0,30.0,4.8,0,0,0,0,0.484042553191489
138,530,0,50.0,0.915,35,2.2,7,10.42,61.2,376,1,0,30.0,4.8,0,0,0,0,0.444148936170213
168,530,0,50.0,0.981,35,2.2,7,10.42,61.2,376,1,0,30.0,4.8,0,0,0,0,0.422872340425532
168,530,0,50.0,0.969,35,2.2,7,10.42,61.2,375,1,0,30.0,4.8,0,0,0,0,0.413333333333333
185,530,0,50.0,1.050,35,2.2,7,10.42,61.2,375,1,0,30.0,4.8,0,0,0,0,0.4
172,530,0,50.0,0.852,35,2.2,7,10.42,61.2,321,1,0,30.0,4.8,0,0,0,0,0.348909657320872
188,530,0,50.0,0.924,35,2.2,7,10.42,61.2,375,1,0,30.0,4.8,0,0,0,0,0.32
208,530,0,50.0,1.380,35,2.2,7,10.42,61.2,375,1,0,30.0,4.8,0,0,0,0,0.368
200,530,0,50.0,0.933,35,2.2,7,10.42,61.2,321,1,0,30.0,4.8,0,0,0,0,0.345794392523364
135,530,0,50.0,0.936,35,2.2,7,10.42,61.2,375,1,0,30.0,4.8,0,0,0,0,0.472
130,530,0,50.0,0.924,35,2.2,7,10.42,61.2,375,1,0,30.0,4.8,0,0,0,0,0.474666666666667
140,530,0,50.0,0.891,35,2.2,7,10.42,61.2,375,1,0,30.0,4.8,0,0,0,0,0.418666666666667
198,530,0,50.0,0.915,35,2.2,7,10.42,61.2,294,1,0,30.0,4.8,0,0,0,0,0.363945578231293
