sexo,raca,idade_dias,peso_inicial_kg,qualidade_pasto,tipo_pasto,taxa_lotacao_ua_ha,area_pasto_ha_animal,quantidade_suplemento_kg_dia,suplementacao_acesso_livre,evento_sanitario_recente,tipo_evento_sanitario,vermifugacao_recente,vacina_recente,tratamento_recente,temperatura_media,estacao_ano,rotacao_piquete,condicao_corporal,tipo_suplementato,frequencia_suplementacao_semana,facilidade_acesso_agua,severidade_evento,estresse_transporte,estresse_manejo,dias_evento_sanitario,tipo_sistema_manejo,dias_permanecia,tipo_fonte_agua,saida_ganho_total_kg,saida_gmd_kg_dia
F,anelorada,530,123,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.594,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,259,poco_artesiano,75,0.28957528957529
F,anelorada,530,112,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.618,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,154,poco_artesiano,94,0.61038961038961
F,anelorada,530,89,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.309,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,259,poco_artesiano,14,0.0540540540540541
F,anelorada,530,120,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.54,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,259,poco_artesiano,60,0.231660231660232
F,anelorada,530,115,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.516,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,259,poco_artesiano,57,0.22007722007722
F,anelorada,530,167,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.618,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,154,poco_artesiano,39,0.253246753246753
F,anelorada,530,185,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.894,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,361,poco_artesiano,113,0.313019390581717
F,anelorada,530,179,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.942,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,361,poco_artesiano,135,0.373961218836565
F,anelorada,530,205,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.972,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,361,poco_artesiano,119,0.329639889196676
F,anelorada,530,207,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,1.056,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,361,poco_artesiano,145,0.401662049861496
F,anelorada,530,240,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,1.104,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,361,poco_artesiano,128,0.354570637119114
F,anelorada,530,222,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.912,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,361,poco_artesiano,82,0.227146814404432
F,anelorada,530,193,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.954,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,361,poco_artesiano,125,0.346260387811634
F,anelorada,530,169,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.87,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,361,poco_artesiano,121,0.335180055401662
F,anelorada,530,194,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.954,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,361,poco_artesiano,124,0.343490304709141
F,anelorada,530,265,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,1.122,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,361,poco_artesiano,109,0.301939058171745
F,anelorada,530,275,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.84,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,43,poco_artesiano,5,0.116279069767442
F,anelorada,530,230,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.675,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,43,poco_artesiano,-5,-0.116279069767442
F,anelorada,530,177,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.531,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,148,poco_artesiano,0,0
F,anelorada,530,278,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.81,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,43,poco_artesiano,-8,-0.186046511627907
